ID,TotalAmount,MostRecent,NumberOfPurchases,PurchaseInterval
1,1313,5/17/2006,10,229
2,1230,9/21/2005,11,467
3,1194,8/11/2006,13,143
4,794,5/24/2006,9,222
5,278,3/13/2005,3,659
6,922,7/28/2006,9,157
7,961,6/20/2006,11,195
8,615,6/8/2005,6,572
9,1097,5/2/2006,9,244
10,1164,5/7/2006,12,239
11,866,6/12/2006,12,203
12,950,9/25/2006,10,98
13,1562,7/28/2006,16,157
14,1083,8/19/2006,11,135
15,631,11/17/2005,8,410
16,807,1/1/2006,9,365
17,1300,6/4/2006,13,211
18,921,10/11/2005,10,447
19,561,7/20/2006,7,165
20,1042,10/15/2006,12,78
21,972,5/12/2006,7,234
22,845,9/29/2005,10,459
23,933,3/28/2006,11,279
24,1189,10/13/2006,16,80
25,669,5/28/2006,10,218
26,344,8/2/2005,6,517
27,581,5/21/2006,7,225
28,530,8/31/2006,7,123
29,544,2/21/2006,6,314
30,1337,9/22/2006,13,101
31,722,8/13/2006,8,141
32,1046,7/10/2006,12,175
33,1077,8/13/2006,11,141
34,1602,7/19/2006,13,166
35,709,11/28/2006,9,34
36,1215,5/31/2006,12,215
37,415,9/4/2006,8,119
38,541,9/15/2006,5,108
39,728,11/2/2005,7,425
40,591,4/12/2006,7,264
41,554,12/1/2005,5,396
42,825,6/13/2006,7,202
43,515,7/14/2006,10,171
44,1191,8/27/2006,11,127
45,1290,3/2/2006,14,305
46,990,6/13/2006,8,202
47,724,11/10/2006,8,52
48,1163,12/3/2006,13,29
49,1191,8/4/2006,10,150
50,1430,11/11/2006,13,51
51,1036,10/25/2006,13,68
52,550,11/8/2006,7,54
53,1007,9/10/2005,8,478
54,222,6/30/2006,3,185
55,498,7/16/2006,4,169
56,970,9/2/2005,9,486
57,1041,9/2/2005,9,486
58,600,9/10/2006,8,113
59,1006,10/3/2006,10,90
60,873,11/27/2006,10,35
61,1243,11/3/2006,12,59
62,1186,7/19/2006,11,166
63,734,9/7/2006,7,116
64,1902,9/3/2006,16,120
65,1278,9/24/2006,12,99
66,796,9/19/2006,9,104
67,710,7/5/2006,7,180
68,831,11/10/2006,10,52
69,1086,8/9/2006,13,145
70,1181,7/29/2006,8,156
71,1079,6/11/2006,11,204
72,1800,7/24/2006,16,161
73,1546,8/7/2006,13,147
74,712,9/2/2006,7,121
75,160,1/30/2006,4,336
76,858,11/15/2006,7,47
77,842,7/21/2006,9,164
78,762,8/12/2006,6,142
79,423,9/3/2005,5,485
80,1556,12/16/2006,14,16
81,479,6/25/2006,6,190
82,985,10/4/2006,9,89
83,1304,9/3/2006,12,120
84,1259,9/24/2006,12,99
85,1115,12/10/2005,10,387
86,1056,8/18/2006,10,136
87,782,5/30/2006,9,216
88,1219,6/18/2006,12,197
89,1019,7/23/2006,11,162
90,665,5/21/2006,7,225
91,829,8/21/2006,9,133
92,1041,12/18/2006,15,14
93,830,10/21/2006,9,72
94,1039,4/21/2006,10,255
95,529,10/10/2006,8,83
96,991,8/4/2006,8,150
97,1146,10/9/2006,10,84
98,928,6/11/2006,9,204
99,1609,7/2/2006,14,183
100,471,7/2/2006,7,183
101,1284,8/24/2006,16,130
102,1422,7/30/2006,11,155
103,846,6/3/2006,9,212
104,994,5/12/2006,12,234
105,1828,12/18/2006,16,14
106,1226,8/18/2006,10,136
107,940,10/6/2006,8,87
108,868,5/19/2006,9,227
109,734,12/1/2006,8,31
110,911,4/15/2006,10,261
111,713,9/4/2006,8,119
112,1092,12/15/2005,10,382
113,960,12/16/2006,10,16
114,1503,10/13/2006,13,80
115,1357,11/25/2006,15,37
116,697,10/15/2006,6,78
117,275,7/8/2005,3,542
118,1124,6/1/2006,11,214
119,1074,10/9/2006,12,84
120,754,1/31/2006,8,335
121,866,8/25/2006,8,129
122,1018,11/22/2006,10,40
123,878,11/17/2006,11,45
124,918,8/14/2006,10,140
125,1823,12/22/2005,20,375
126,1089,8/10/2006,12,144
127,837,5/7/2006,12,239
128,499,10/30/2006,5,63
129,1904,10/12/2006,17,81
130,834,10/14/2006,9,79
131,1383,9/10/2006,15,113
132,674,10/9/2005,8,449
133,1278,10/28/2005,13,430
134,230,8/18/2006,3,136
135,809,10/22/2005,9,436
136,1229,6/18/2006,9,197
137,1245,9/16/2006,11,107
138,338,12/29/2005,5,368
139,743,10/26/2005,7,432
140,842,6/15/2006,10,200
141,1558,10/28/2006,13,65
142,686,12/15/2006,8,17
143,908,4/30/2006,11,246
144,354,8/19/2005,5,500
145,1131,8/21/2006,13,133
146,762,12/13/2006,8,19
147,749,2/9/2006,10,326
148,1134,5/8/2006,13,238
149,659,6/18/2006,7,197
150,352,9/2/2005,4,486
151,1786,6/8/2006,19,207
152,1283,11/30/2006,12,32
153,1141,9/12/2006,13,111
154,1006,2/25/2006,8,310
155,583,7/21/2006,5,164
156,813,10/18/2006,9,75
157,840,9/24/2006,10,99
158,746,11/11/2006,13,51
159,434,8/1/2006,4,153
160,1025,8/17/2006,10,137
161,1517,8/9/2006,12,145
162,1392,7/30/2006,9,155
163,1250,7/30/2006,9,155
164,1393,10/5/2006,11,88
